Acceleration,Method,ScanID,SSFD (mse),SSFD (mae),SSFD (pdl),SSFD (dists)
2,UNet,1001119,5.206717491149902,0.9511723518371582,178.00616455078125,-286.6896667480469
2,UNet,1001140,3.3702034950256348,0.7753912210464478,163.61834716796875,-293.19683837890625
2,UNet,1001144,3.843733310699463,0.8242719769477844,170.3477325439453,-290.4200439453125
2,UNet,1001159,6.438261985778809,1.1536674499511719,292.1170959472656,-264.2507019042969
2,UNet,1001168,2.1398415565490723,0.5171802043914795,127.28999328613281,-301.73675537109375
2,UNet,1001170,2.572654962539673,0.6013658046722412,132.2478485107422,-298.92529296875
2,UNet,1001184,3.143709897994995,0.7082949280738831,150.37069702148438,-296.60443115234375
2,UNet,1001275,5.211468696594238,1.0156201124191284,214.05931091308594,-275.72479248046875
2,UNet,1001381,4.320812225341797,0.8170450925827026,210.36915588378906,-292.42291259765625
2,UNet,1001651,3.5562846660614014,0.7693173289299011,169.97274780273438,-292.6940612792969
2,UNet,1001655,4.35363245010376,0.860155463218689,197.01609802246094,-291.09130859375
2,UNet,1001687,2.604936122894287,0.6613832712173462,136.5262451171875,-302.4561767578125
2,UNet,1001759,2.5901036262512207,0.5886918902397156,129.02931213378906,-297.08148193359375
2,UNet,1001763,4.400251388549805,0.8581655621528625,182.85678100585938,-292.40509033203125
2,UNet,1001798,5.069035530090332,0.9976425170898438,225.7375946044922,-273.4141540527344
2,UNet,1001850,4.0327887535095215,0.8247268795967102,174.41148376464844,-290.6024169921875
2,UNet,1001851,4.614300727844238,0.8979305028915405,209.7157440185547,-281.75115966796875
2,UNet,1001938,5.500491142272949,1.0070854425430298,210.16824340820312,-282.71514892578125
2,UNet,1001959,4.751776218414307,0.922264575958252,175.64060974121094,-286.0863037109375
2,UNet,1001995,3.025801658630371,0.6716004610061646,149.9158477783203,-297.4273681640625
2,UNet,1001997,4.744107723236084,0.944288432598114,274.9900207519531,-279.6524658203125
2,UNet,1002007,3.959733486175537,0.7859179377555847,174.1125030517578,-292.84161376953125
2,UNet,1002035,2.05073618888855,0.5643492341041565,136.07537841796875,-303.10174560546875
2,UNet,1002274,4.54475212097168,0.9289024472236633,175.3478546142578,-287.93768310546875
2,UNet,1002351,3.9397048950195312,0.8343777656555176,179.6204071044922,-293.21099853515625
2,UNet,1002380,5.423154830932617,1.0002458095550537,297.2998962402344,-277.42041015625
2,UNet,1002382,2.182060718536377,0.5204387903213501,131.2484130859375,-303.05224609375
2,UNet,1002412,5.070140838623047,0.9694097638130188,224.63914489746094,-277.22509765625
2,UNet,1002417,4.781099796295166,0.9489124417304993,187.4364776611328,-284.9970397949219
2,UNet,1002451,4.753669738769531,0.9318710565567017,168.93190002441406,-283.13385009765625
2,UNet,1002515,5.452425479888916,1.003408670425415,208.4932861328125,-275.74615478515625
2,UNet,1002526,2.8348822593688965,0.6963914632797241,183.06117248535156,-298.79248046875
2,UNet,1002538,5.354825019836426,1.00895094871521,170.99749755859375,-282.9404296875
4,UNet,1000017,9.786736488342285,1.3530279397964478,312.14715576171875,-248.24957275390625
4,UNet,1000026,10.551660537719727,1.4130841493606567,280.2983703613281,-247.541015625
4,UNet,1000041,6.8436689376831055,1.0310744047164917,257.0473937988281,-268.70166015625
4,UNet,1000071,8.010579109191895,1.1713502407073975,212.93902587890625,-267.31475830078125
4,UNet,1000107,6.892844200134277,1.0057899951934814,264.5863037109375,-276.04541015625
4,UNet,1000153,7.615785121917725,1.050657033920288,266.1264953613281,-267.63916015625
4,UNet,1000178,10.726234436035156,1.4223384857177734,270.8477783203125,-248.40179443359375
4,UNet,1000196,10.493827819824219,1.4396593570709229,259.3668518066406,-252.6041259765625
4,UNet,1000206,10.614618301391602,1.4270284175872803,284.7012939453125,-248.29928588867188
4,UNet,1000264,8.347742080688477,1.202377438545227,286.5893859863281,-261.86279296875
4,UNet,1000292,9.150612831115723,1.3289918899536133,336.0887145996094,-252.7415313720703
4,UNet,1000314,7.522767066955566,1.166235089302063,271.2202453613281,-269.9410400390625
4,UNet,1000323,9.5118989944458,1.398453950881958,310.81707763671875,-258.755615234375
4,UNet,1000344,9.866385459899902,1.359926700592041,296.177490234375,-249.95909118652344
4,UNet,1000432,6.92254114151001,1.0558663606643677,233.26748657226562,-273.30426025390625
4,UNet,1000464,11.192153930664062,1.4112647771835327,369.4408264160156,-252.1963348388672
4,UNet,1000538,9.179704666137695,1.301413655281067,273.642333984375,-258.00152587890625
4,UNet,1000591,10.431923866271973,1.4029467105865479,280.6838684082031,-253.47377014160156
4,UNet,1000697,7.374139308929443,1.0130923986434937,274.2666931152344,-273.96990966796875
4,UNet,1000735,9.017956733703613,1.123052954673767,256.5228576660156,-261.3278503417969
4,UNet,1000759,6.916412353515625,1.0144842863082886,226.65318298339844,-270.3392333984375
4,UNet,1000769,7.374096870422363,1.0455368757247925,240.11093139648438,-269.842041015625
4,UNet,1000891,6.576003074645996,0.983586311340332,241.40904235839844,-271.42584228515625
4,UNet,1000899,11.294306755065918,1.4607164859771729,268.24261474609375,-243.14466857910156
4,UNet,1001064,8.129647254943848,1.0840152502059937,261.1458740234375,-270.61334228515625
4,UNet,1001090,12.043499946594238,1.4519895315170288,330.971435546875,-250.44839477539062
4,UNet,1001096,5.849998950958252,0.9621027112007141,193.4324951171875,-278.81414794921875
4,UNet,1001104,5.910632610321045,0.879917323589325,204.97738647460938,-276.6163024902344
4,UNet,1001119,9.987527847290039,1.3585484027862549,235.1063232421875,-257.21673583984375
4,UNet,1001140,7.964298248291016,1.222854495048523,191.9094696044922,-261.5381164550781
4,UNet,1001144,9.021061897277832,1.2928425073623657,268.410888671875,-260.50518798828125
