Acceleration,Method,ScanID,CoilNoiseIncrease,SSIM,PSNR,NRMSE,HFEN,VIF,NQM,SSFD,LPIPS (VGG-16),ResNet50 (RadImageNet)
2,UNet,1001104,1,0.8108368515968323,30.174388885498047,0.08189409226179123,0.3418373465538025,0.15461614951313407,21.54467379117402,2.120407819747925,0.16580753028392792,0.8132703304290771
2,UNet,1001104,2,0.7876871228218079,30.297624588012695,0.08153793960809708,0.34687939286231995,0.14974432150173664,21.4531612581302,2.2183666229248047,0.17322944104671478,0.8779441714286804
2,UNet,1001104,3,0.749233067035675,29.7782039642334,0.08657857030630112,0.35549110174179077,0.14581245061243917,21.354859299413576,2.3563339710235596,0.18111003935337067,1.0195659399032593
2,UNet,1001119,0,0.8308371901512146,31.21111297607422,0.13672317564487457,0.4243970215320587,0.13677308904335636,21.39115969965969,5.206717491149902,0.17440688610076904,0.6608083248138428
2,UNet,1001119,1,0.8150127530097961,30.520307540893555,0.1466006338596344,0.4348238706588745,0.13241989306184915,20.75977674142112,5.373509883880615,0.18168115615844727,0.7450565099716187
2,UNet,1001119,2,0.7813730239868164,30.37143325805664,0.1503686159849167,0.45385754108428955,0.12389358796213916,20.721807700251816,6.0196123123168945,0.19392406940460205,0.7791875600814819
2,UNet,1001119,3,0.728111207485199,29.576435089111328,0.1640789806842804,0.4823134243488312,0.11661812581770695,20.416758743846515,7.4902496337890625,0.2118770182132721,0.8912003040313721
2,UNet,1001140,0,0.8629539012908936,34.27002716064453,0.11415310949087143,0.3686240315437317,0.15874957505986473,21.50371677959081,3.3702034950256348,0.1595163494348526,0.5473877191543579
2,UNet,1001140,1,0.8449077010154724,33.4110107421875,0.12498903274536133,0.3824617564678192,0.1534635360170887,19.6946750946268,3.778002977371216,0.1740032434463501,0.6243859529495239
2,UNet,1001140,2,0.8122742176055908,32.68100357055664,0.13553084433078766,0.3958578407764435,0.146091864977615,19.494447736987407,4.6742167472839355,0.18443749845027924,0.6610987186431885
2,UNet,1001140,3,0.7662394046783447,31.789424896240234,0.15090347826480865,0.41883453726768494,0.13623773445995943,18.91369407048243,6.000666618347168,0.2027590274810791,0.7449057102203369
2,UNet,1001144,0,0.8337348103523254,33.12864303588867,0.09073107689619064,0.35980224609375,0.15861906175396062,22.213228654878918,3.843733310699463,0.16135594248771667,0.5132310390472412
2,UNet,1001144,1,0.8146868348121643,32.465087890625,0.09694793075323105,0.36847418546676636,0.15475335117686975,21.184756061492752,4.262354850769043,0.17007336020469666,0.569196343421936
2,UNet,1001144,2,0.7819433808326721,31.77657699584961,0.10539985448122025,0.38312047719955444,0.1457962935735286,20.577414104108158,4.932510852813721,0.18444901704788208,0.6107504963874817
2,UNet,1001144,3,0.7350996136665344,30.693809509277344,0.12133734673261642,0.4116968810558319,0.1360016088546957,19.170543781498953,6.299610137939453,0.19952166080474854,0.6961869597434998
2,UNet,1001159,0,0.7834139466285706,27.638463973999023,0.26011213660240173,0.4831450283527374,0.14066561130013513,12.75545776736839,6.438261985778809,0.17428173124790192,0.5578991770744324
