Acceleration,Method,ScanID,SSIM,PSNR,NRMSE,HFEN,VIF,NQM,SSFD,LPIPS (VGG-16),LPIPS (AlexNet),VGG-16,DISTS,ResNet50 (ImageNet),ResNet50 (RadImageNet),ResNet50 (random)
2,Unrolled,1001090,0.8998527526855469,36.912742614746094,0.0667167380452156,0.1711997389793396,0.2388906220579374,31.11492270836041,2.1261768341064453,0.10767746716737747,0.02558353915810585,1.382671594619751,0.041085660457611084,5.855831841472536e-05,0.21963927149772644,0.004908546805381775
2,Unrolled,1001096,0.9085352420806885,34.5113525390625,0.05902198329567909,0.2316691279411316,0.24549634168688075,26.382002412038066,0.9860607385635376,0.10414747148752213,0.027772095054388046,1.3062113523483276,0.060276925563812256,6.824031879659742e-05,0.3318386971950531,0.010844873264431953
2,Unrolled,1001104,0.8838043212890625,33.87171173095703,0.05377592891454697,0.19739693403244019,0.23427512563735395,28.441061038473073,0.7937644124031067,0.10742100328207016,0.027607779949903488,1.3607287406921387,0.0491788387298584,5.687598240911029e-05,0.29300040006637573,0.013488445430994034
2,Unrolled,1001119,0.8845522403717041,33.38291549682617,0.10647611320018768,0.2832690477371216,0.2221661249820141,21.75218603700172,2.552375555038452,0.11963531374931335,0.034132085740566254,1.5333328247070312,0.05188089609146118,7.015192386461422e-05,0.24046729505062103,0.0179284680634737
2,Unrolled,1001140,0.8959641456604004,36.33441162109375,0.09000537544488907,0.24290689826011658,0.24004339604117064,26.763995344655427,2.3984858989715576,0.11932888627052307,0.03194712847471237,1.5148847103118896,0.059325218200683594,6.160118209663779e-05,0.19857482612133026,0.005083783529698849
2,Unrolled,1001144,0.8731295466423035,34.91351318359375,0.07387757301330566,0.25696679949760437,0.22332241092019733,27.16609563641591,2.2627573013305664,0.12248057872056961,0.030465686693787575,1.5637463331222534,0.04969680309295654,7.22058757673949e-05,0.1912304013967514,0.007519351784139872
2,Unrolled,1001159,0.8132236003875732,30.666372299194336,0.18355458974838257,0.3890712559223175,0.17350695904077115,17.448237983778142,4.85183572769165,0.1441037505865097,0.053636595606803894,1.851533055305481,0.06479132175445557,9.804696310311556e-05,0.2693483531475067,0.02841620147228241
2,Unrolled,1001168,0.888712465763092,31.110698699951172,0.08633317798376083,0.2210514098405838,0.21441276797836795,22.071584808969856,1.0012118816375732,0.11254614591598511,0.02967091090977192,1.4505094289779663,0.05807077884674072,6.895913975313306e-05,0.36506688594818115,0.021983707323670387
2,Unrolled,1001170,0.9532836079597473,39.169288635253906,0.039633527398109436,0.14223429560661316,0.2869857918531093,31.37380419452072,0.5600608587265015,0.07473096251487732,0.017886299639940262,0.9002565145492554,0.03653717041015625,3.721535176737234e-05,0.3093448579311371,0.0050676558166742325
2,Unrolled,1001184,0.9656095504760742,41.63243865966797,0.034817639738321304,0.16129210591316223,0.296447260661849,33.3318519524095,0.771769642829895,0.06943321228027344,0.018154196441173553,0.8480440974235535,0.05300736427307129,4.106477354071103e-05,0.3009864091873169,0.0019199139205738902
2,Unrolled,1001275,0.8220228552818298,32.479270935058594,0.1260959506034851,0.30507853627204895,0.20302133282401214,24.655193446511735,3.799691677093506,0.13879968225955963,0.05558560788631439,1.7760239839553833,0.06756281852722168,8.651012467453256e-05,0.24889951944351196,0.010310392826795578
2,Unrolled,1001381,0.9638842940330505,39.892269134521484,0.04182303696870804,0.16673654317855835,0.26822676846499716,31.316640273898564,1.2022135257720947,0.0882108062505722,0.02641383372247219,1.0533655881881714,0.06091201305389404,6.169734842842445e-05,0.29188454151153564,0.004369514063000679
2,Unrolled,1001651,0.8806667923927307,35.50360107421875,0.07373024523258209,0.21494537591934204,0.23424322082600516,29.92107361215393,2.188964605331421,0.1160963848233223,0.03044356405735016,1.4882429838180542,0.05395054817199707,6.71664165565744e-05,0.2086259424686432,0.006295983213931322
2,Unrolled,1001655,0.9343260526657104,38.66258239746094,0.06320634484291077,0.19609379768371582,0.25084888127088073,28.576727422557482,2.0973010063171387,0.10108637064695358,0.024902891367673874,1.2617658376693726,0.053005874156951904,6.3330378907267e-05,0.2572711706161499,0.0036142675671726465
2,Unrolled,1001687,0.9277171492576599,35.023719787597656,0.05556740239262581,0.19425129890441895,0.27052796556265274,27.75057787494823,1.2176576852798462,0.09354276210069656,0.030092358589172363,1.141409158706665,0.06113541126251221,5.2374012739164755e-05,0.3390667140483856,0.014055075123906136
2,Unrolled,1001759,0.9425897598266602,36.800254821777344,0.04167234152555466,0.1572362631559372,0.27469899947636617,30.513703395580222,0.6388317942619324,0.07674108445644379,0.02146214246749878,0.9518911838531494,0.042481422424316406,3.984194700024091e-05,0.2538069188594818,0.007301203906536102
2,Unrolled,1001763,0.957257091999054,38.4511604309082,0.03980004042387009,0.18277902901172638,0.2654624304653304,30.976813669345052,1.2533210515975952,0.08445693552494049,0.02315615490078926,1.021587610244751,0.05430418252944946,5.580732977250591e-05,0.32721489667892456,0.005311504937708378
2,Unrolled,1001798,0.8410483598709106,33.78631591796875,0.12061796337366104,0.2735348343849182,0.19958565996802388,25.319117853887967,3.807894468307495,0.13304100930690765,0.04498634487390518,1.706336259841919,0.05253875255584717,8.670940587762743e-05,0.2857362926006317,0.00773223303258419
2,Unrolled,1001850,0.9059157967567444,37.72788619995117,0.08185473084449768,0.22730644047260284,0.22409628999200423,27.331613118987864,2.2411487102508545,0.12490732967853546,0.029713762924075127,1.5701038837432861,0.06799989938735962,7.996438216650859e-05,0.2732123136520386,0.0032644651364535093
2,Unrolled,1001851,0.8906830549240112,36.09049606323242,0.07646021991968155,0.1871979683637619,0.23791485974937163,29.319093150912376,2.33123517036438,0.10853604227304459,0.031245820224285126,1.4058170318603516,0.047982215881347656,7.056190224830061e-05,0.22335763275623322,0.0055737863294780254
2,Unrolled,1001938,0.8769794702529907,34.68294906616211,0.07863509654998779,0.2835395634174347,0.2104043490171849,26.39438892100614,2.6837124824523926,0.1278800368309021,0.04095829278230667,1.652047038078308,0.05491995811462402,8.298093598568812e-05,0.28358450531959534,0.0061618005856871605
2,Unrolled,1001959,0.8720268607139587,34.38592529296875,0.09015408158302307,0.2708742916584015,0.2137519130119292,25.775533480415483,2.769296169281006,0.12754756212234497,0.03871440142393112,1.6184735298156738,0.053477704524993896,7.860943878768012e-05,0.2781529128551483,0.006936832331120968
2,Unrolled,1001995,0.9178510904312134,31.054767608642578,0.10425329208374023,0.1969795972108841,0.24422524672268328,20.79518282477334,1.173789620399475,0.09678509086370468,0.025459982454776764,1.2249786853790283,0.05023610591888428,5.7880239182850346e-05,0.27483874559402466,0.03537806123495102
2,Unrolled,1001997,0.8320518732070923,31.882915496826172,0.13188187777996063,0.3405023217201233,0.20131853655028528,20.666080123136283,3.1412899494171143,0.14408747851848602,0.04715394601225853,1.8356658220291138,0.07076025009155273,8.784203237155452e-05,0.2676170766353607,0.01854032278060913
2,Unrolled,1002007,0.8970895409584045,33.91114044189453,0.09141808748245239,0.23877765238285065,0.24310260330909267,23.69497846947378,2.15360426902771,0.1026410385966301,0.02839840203523636,1.310167908668518,0.044406771659851074,6.786728772567585e-05,0.23255020380020142,0.01330731064081192
2,Unrolled,1002035,0.9153926372528076,36.085933685302734,0.04319928586483002,0.17838923633098602,0.26523782217032243,31.878888445534514,0.8735262155532837,0.09161893278360367,0.024679210036993027,1.134013295173645,0.049903929233551025,5.014639100409113e-05,0.3455682098865509,0.007359412964433432
2,Unrolled,1002274,0.9484215378761292,34.338233947753906,0.07651247829198837,0.20563337206840515,0.26417160341432555,23.785518683676464,1.8441165685653687,0.09871440380811691,0.027622267603874207,1.2088524103164673,0.05268067121505737,6.216741167008877e-05,0.3320663273334503,0.018011506646871567
2,Unrolled,1002351,0.9328081011772156,36.68000030517578,0.038233499974012375,0.2294449508190155,0.25656290743453075,30.074876030826545,1.0593860149383545,0.10031786561012268,0.025220291689038277,1.2379577159881592,0.05546385049819946,7.196711521828547e-05,0.3376161456108093,0.004985191859304905
2,Unrolled,1002380,0.8053578734397888,31.477340698242188,0.11562346667051315,0.3897995054721832,0.19408647328045983,24.536501179582327,3.6577091217041016,0.14941242337226868,0.06045851856470108,1.880789041519165,0.06462037563323975,9.258418140234426e-05,0.3000357449054718,0.012031321413815022
2,Unrolled,1002382,0.95457923412323,40.809513092041016,0.03205520659685135,0.13061241805553436,0.2854216195684112,33.18984709824348,0.5784311890602112,0.07537637650966644,0.017447885125875473,0.9178786277770996,0.03856217861175537,3.777032543439418e-05,0.25137439370155334,0.0024145119823515415
2,Unrolled,1002412,0.8786321878433228,35.57284927368164,0.10463199019432068,0.2522089183330536,0.21521496732899098,26.169957837231745,3.0512535572052,0.12108779698610306,0.03911367058753967,1.5600286722183228,0.051858723163604736,7.71616687416099e-05,0.2293233573436737,0.00599626312032342
2,Unrolled,1002417,0.9166726469993591,34.000648498535156,0.05477440357208252,0.33769842982292175,0.20820376840727658,20.529968256346052,2.970043897628784,0.15513451397418976,0.062260378152132034,1.8877437114715576,0.10277247428894043,0.00014776729221921414,0.8836120367050171,0.008528069593012333
2,Unrolled,1002451,0.8885116577148438,35.174556732177734,0.0812482088804245,0.26040127873420715,0.22453302715724638,25.76423272475769,2.3400659561157227,0.12624183297157288,0.03549860417842865,1.6070294380187988,0.059244394302368164,7.696067041251808e-05,0.2871803343296051,0.007072098553180695
2,Unrolled,1002515,0.8975420594215393,32.00346374511719,0.20180030167102814,0.31379756331443787,0.21883701363084904,14.826799911513628,2.9548144340515137,0.1391456425189972,0.03783566877245903,1.7435624599456787,0.0569303035736084,9.312095062341541e-05,0.4033096432685852,0.02746884524822235
2,Unrolled,1002526,0.9628876447677612,40.53847885131836,0.04472021013498306,0.1663702130317688,0.2699748532268269,30.07696054461202,1.035121202468872,0.0839599072933197,0.01799202710390091,1.0303809642791748,0.06166267395019531,4.9683687393553555e-05,0.2896721363067627,0.0036406947765499353
2,Unrolled,1002538,0.8949031233787537,36.611122131347656,0.09526143223047256,0.28469187021255493,0.23608079477334695,25.950578707640712,2.955291271209717,0.13235116004943848,0.03923475369811058,1.6654467582702637,0.06031179428100586,8.635477570351213e-05,0.23719704151153564,0.0038036745972931385
4,Unrolled,1000017,0.7192685008049011,29.654537200927734,0.18364323675632477,0.4373966157436371,0.14933946516102775,16.987379585758287,6.483019828796387,0.2612781524658203,0.1376032829284668,3.2450034618377686,0.14560186862945557,0.00020733354904223233,1.2197037935256958,0.03417389094829559
4,Unrolled,1000026,0.6877533197402954,29.57940101623535,0.14569374918937683,0.47787463665008545,0.1632734516923536,20.862669746996254,7.071988105773926,0.2591051757335663,0.13909775018692017,3.16947078704834,0.13943004608154297,0.00018787318549584597,1.0298906564712524,0.01967071183025837
4,Unrolled,1000041,0.8604797124862671,32.35981750488281,0.07806410640478134,0.3256925046443939,0.20112899282123786,23.358836819048904,3.2359554767608643,0.19062364101409912,0.08344829082489014,2.290492534637451,0.09573054313659668,0.0001403073692927137,1.004908561706543,0.025402523577213287
4,Unrolled,1000071,0.8448752760887146,29.631357192993164,0.13481786847114563,0.43507856130599976,0.1939983982707874,18.61879998598489,4.133435249328613,0.22404326498508453,0.0897538810968399,2.6305904388427734,0.13939499855041504,0.0001510796428192407,1.2992682456970215,0.054507769644260406
4,Unrolled,1000107,0.833975613117218,29.780967712402344,0.0956820473074913,0.34329161047935486,0.1933257964972252,21.756267811072707,2.6853413581848145,0.2128961980342865,0.07321853935718536,2.531376600265503,0.11219745874404907,0.00015381062985397875,1.350141167640686,0.04807144030928612
4,Unrolled,1000153,0.8021730184555054,31.393421173095703,0.09268191456794739,0.32846754789352417,0.1883933995879392,22.32834711340751,3.0454468727111816,0.205807626247406,0.08966712653636932,2.4861645698547363,0.11464744806289673,0.0001346113858744502,1.1425820589065552,0.026784908026456833
4,Unrolled,1000178,0.7382148504257202,30.973188400268555,0.14567147195339203,0.43412694334983826,0.16692730054691743,18.987669867052173,7.057373046875,0.26265326142311096,0.11766847223043442,3.2389678955078125,0.13051271438598633,0.00020286593644414097,1.1482571363449097,0.019688930362462997
4,Unrolled,1000196,0.7528884410858154,27.939321517944336,0.15001672506332397,0.47414258122444153,0.1643917688860454,15.391597719638046,6.939166069030762,0.27709251642227173,0.1433705985546112,3.3870584964752197,0.14458191394805908,0.0002249037497676909,1.6610080003738403,0.06488189101219177
4,Unrolled,1000206,0.7601749300956726,31.3277587890625,0.12360774725675583,0.4569113552570343,0.1711269575934982,21.51776162446753,7.554724216461182,0.2549137473106384,0.13516414165496826,3.0725128650665283,0.1354469656944275,0.00016771235095802695,1.1192818880081177,0.015219766646623611
4,Unrolled,1000264,0.8360453248023987,30.771692276000977,0.10927034169435501,0.5523335933685303,0.16707512172597805,18.820000387530513,4.962333679199219,0.24827781319618225,0.12920302152633667,2.994934558868408,0.14851582050323486,0.00020075861539226025,1.6896309852600098,0.03182649612426758
